Group,Sex,Time,Weight,GR
Oct_5_IR,M,40,390,9.75
Oct_5_IR,M,40,451,11.275
Oct_5_IR,M,40,437,10.925
Oct_5_IR,M,40,426,10.65
Oct_5_IR,M,41,375,9.146341463
Oct_5_IR,M,41,378,9.219512195
Oct_5_IR,M,41,415,10.12195122
Oct_5_IR,M,41,370,9.024390244
Oct_5_IR,M,41,354,8.634146341
Oct_5_IR,M,41,377,9.195121951
Oct_5_IR,M,41,423,10.31707317
Oct_5_IR,M,41,430,10.48780488
Oct_5_IR,M,41,390,9.512195122
Oct_5_IR,M,41,412,10.04878049
Oct_5_IR,M,41,453,11.04878049
Oct_5_IR,M,41,402,9.804878049
Oct_5_IR,M,41,435,10.6097561
Oct_5_IR,M,41,358,8.731707317
Oct_5_IR,M,41,391,9.536585366
Oct_5_IR,M,41,381,9.292682927
Oct_5_IR,M,41,408,9.951219512
Oct_5_IR,M,41,388,9.463414634
Oct_5_IR,M,41,440,10.73170732
Oct_5_IR,M,41,346,8.43902439
Oct_5_IR,M,41,388,9.463414634
Oct_5_IR,M,41,369,9
Oct_5_IR,M,42,388,9.238095238
Oct_5_IR,M,42,440,10.47619048
Oct_5_IR,M,42,394,9.380952381
Oct_5_IR,M,42,377,8.976190476
Oct_5_IR,M,42,421,10.02380952
Oct_5_IR,M,42,372,8.857142857
Oct_5_IR,M,42,354,8.428571429
Oct_5_IR,M,42,387,9.214285714
Oct_5_IR,M,42,352,8.380952381
Oct_5_IR,M,42,365,8.69047619
Oct_5_IR,M,42,395,9.404761905
Oct_5_IR,M,42,331,7.880952381
Oct_5_IR,M,42,404,9.619047619
Oct_5_IR,M,42,402,9.571428571
Oct_5_IR,M,43,383,8.906976744
Oct_5_IR,M,43,360,8.372093023
Oct_5_IR,M,44,364,8.272727273
Oct_5_IR,M,45,515,11.44444444
Oct_5_IR,M,46,434,9.434782609
Oct_5_IR,M,47,411,8.744680851
Oct_5_IR,M,47,535,11.38297872
