replicate,treatment,sex,time,mass,rate
r1,shamnofilm,F,38,428,11.26315789
r1,shamnofilm,F,38,362,9.526315789
r1,shamnofilm,F,39,427,10.94871795
r1,shamnofilm,F,41,471,11.48780488
r1,shamnofilm,F,41,558,13.6097561
r1,shamnofilm,F,42,558,13.28571429
r1,shamnofilm,F,42,491,11.69047619
r1,shamnofilm,F,42,451,10.73809524
r1,shamnofilm,F,42,594,14.14285714
r1,shamnofilm,F,42,572,13.61904762
r1,shamnofilm,F,42,612,14.57142857
r1,shamnofilm,F,43,448,10.41860465
r1,shamnofilm,F,43,395,9.186046512
r1,shamnofilm,F,43,539,12.53488372
r1,shamnofilm,F,44,533,12.11363636
r2,shamnofilm,M,36,438,12.16666667
r2,shamnofilm,M,36,370,10.27777778
r2,shamnofilm,M,37,398,10.75675676
r2,shamnofilm,M,38,347,9.131578947
r2,shamnofilm,M,38,355,9.342105263
r2,shamnofilm,M,38,414,10.89473684
r2,shamnofilm,M,38,380,10
r2,shamnofilm,M,38,325,8.552631579
r2,shamnofilm,M,38,293,7.710526316
r2,shamnofilm,M,38,343,9.026315789
r2,shamnofilm,M,38,369,9.710526316
r2,shamnofilm,M,38,416,10.94736842
r2,shamnofilm,M,39,345,8.846153846
r2,shamnofilm,M,39,377,9.666666667
r2,shamnofilm,M,39,408,10.46153846
r2,shamnofilm,M,39,347,8.897435897
r2,shamnofilm,M,39,334,8.564102564
r2,shamnofilm,M,39,410,10.51282051
r2,shamnofilm,M,39,383,9.820512821
r2,shamnofilm,M,40,296,7.4
r2,shamnofilm,M,40,323,8.075
r2,shamnofilm,M,40,376,9.4
r2,shamnofilm,M,42,429,10.21428571
r2,shamnofilm,M,44,467,10.61363636
r2,shamnofilm,F,36,452,12.55555556
r2,shamnofilm,F,36,399,11.08333333
r2,shamnofilm,F,36,500,13.88888889
r2,shamnofilm,F,36,467,12.97222222
r2,shamnofilm,F,36,456,12.66666667
r2,shamnofilm,F,37,422,11.40540541
r2,shamnofilm,F,37,398,10.75675676
r2,shamnofilm,F,37,417,11.27027027
r2,shamnofilm,F,37,414,11.18918919
r2,shamnofilm,F,37,457,12.35135135
r2,shamnofilm,F,37,341,9.216216216
r2,shamnofilm,F,37,401,10.83783784
r2,shamnofilm,F,37,408,11.02702703
r2,shamnofilm,F,37,452,12.21621622
r2,shamnofilm,F,37,449,12.13513514
r2,shamnofilm,F,37,470,12.7027027
r2,shamnofilm,F,37,417,11.27027027
r2,shamnofilm,F,38,386,10.15789474
r2,shamnofilm,F,38,424,11.15789474
r2,shamnofilm,F,38,514,13.52631579
r2,shamnofilm,F,38,433,11.39473684
r2,shamnofilm,F,38,328,8.631578947
r2,shamnofilm,F,38,415,10.92105263
r2,shamnofilm,F,38,384,10.10526316
r2,shamnofilm,F,39,303,7.769230769
r2,shamnofilm,F,41,435,10.6097561
r2,shamnofilm,F,42,479,11.4047619
r1,bystfilm,M,36,310,8.611111111
r1,bystfilm,M,37,381,10.2972973
r1,bystfilm,M,37,391,10.56756757
r1,bystfilm,M,37,475,12.83783784
r1,bystfilm,M,37,334,9.027027027
r1,bystfilm,M,37,328,8.864864865
r1,bystfilm,M,37,388,10.48648649
r1,bystfilm,M,37,423,11.43243243
r1,bystfilm,M,37,435,11.75675676
r1,bystfilm,M,37,312,8.432432432
r1,bystfilm,M,37,308,8.324324324
r1,bystfilm,M,37,339,9.162162162
r1,bystfilm,M,37,300,8.108108108
r1,bystfilm,M,38,318,8.368421053
r1,bystfilm,M,38,301,7.921052632
r1,bystfilm,M,38,394,10.36842105
r1,bystfilm,M,38,344,9.052631579
r1,bystfilm,M,38,364,9.578947368
r1,bystfilm,M,38,391,10.28947368
r1,bystfilm,M,38,310,8.157894737
r1,bystfilm,M,38,486,12.78947368
r1,bystfilm,M,38,359,9.447368421
r1,bystfilm,M,38,359,9.447368421
r1,bystfilm,M,39,348,8.923076923
r1,bystfilm,M,40,316,7.9
r1,bystfilm,M,40,355,8.875
r1,bystfilm,M,41,417,10.17073171
r1,bystfilm,M,42,446,10.61904762
r1,bystfilm,F,36,365,10.13888889
r1,bystfilm,F,36,402,11.16666667
r1,bystfilm,F,36,379,10.52777778
r1,bystfilm,F,36,480,13.33333333
r1,bystfilm,F,36,433,12.02777778
r1,bystfilm,F,36,429,11.91666667
r1,bystfilm,F,36,442,12.27777778
r1,bystfilm,F,36,495,13.75
r1,bystfilm,F,37,434,11.72972973
r1,bystfilm,F,37,474,12.81081081
r1,bystfilm,F,37,362,9.783783784
r1,bystfilm,F,37,493,13.32432432
r1,bystfilm,F,38,483,12.71052632
r1,bystfilm,F,38,489,12.86842105
r1,bystfilm,F,40,465,11.625
r1,bystfilm,F,40,588,14.7
r1,bystfilm,F,41,553,13.48780488
r1,bystfilm,F,41,577,14.07317073
r1,bystfilm,F,41,515,12.56097561
r1,bystfilm,F,41,565,13.7804878
r1,bystfilm,F,41,552,13.46341463
r1,bystfilm,F,42,545,12.97619048
r1,bystfilm,F,42,428,10.19047619
r2,bystfilm,M,36,409,11.36111111
r2,bystfilm,M,36,391,10.86111111
r2,bystfilm,M,37,341,9.216216216
r2,bystfilm,M,37,441,11.91891892
r2,bystfilm,M,37,335,9.054054054
r2,bystfilm,M,37,440,11.89189189
r2,bystfilm,M,37,362,9.783783784
r2,bystfilm,M,37,424,11.45945946
r2,bystfilm,M,37,364,9.837837838
r2,bystfilm,M,37,383,10.35135135
r2,bystfilm,M,37,383,10.35135135
r2,bystfilm,M,37,381,10.2972973
r2,bystfilm,M,38,394,10.36842105
r2,bystfilm,M,38,417,10.97368421
r2,bystfilm,M,38,417,10.97368421
r2,bystfilm,M,38,455,11.97368421
r2,bystfilm,M,38,350,9.210526316
r2,bystfilm,M,38,292,7.684210526
r2,bystfilm,M,38,392,10.31578947
r2,bystfilm,M,38,455,11.97368421
r2,bystfilm,M,38,379,9.973684211
r2,bystfilm,M,39,357,9.153846154
r2,bystfilm,M,39,348,8.923076923
r2,bystfilm,M,39,359,9.205128205
r2,bystfilm,M,39,392,10.05128205
r2,bystfilm,M,42,522,12.42857143
r2,bystfilm,M,43,433,10.06976744
